标题,小区名d:\projects\DSL\college_departments.csv d:\projects\DSL\cr_tsh.py地区板块,户型,面积,朝向,装修,楼层,关注信息,房屋总价,房屋单价
西关南关甘南路王马巷准电梯房两室一厅可按揭,民基柏道路小区（王马巷）,五泉广场,3室1厅,91.7平米,东 西,简装,高楼层(共8层),0人关注 / 一年前发布, 66万,"7,198元/平"
南关省政府地铁口 有院子可停车交通便利,兰州海关家属院,西关南关,2室2厅,94平米,南 北,简装,中楼层(共8层),0人关注 / 6个月以前发布, 115万,"12,235元/平"
天庆C区  中间楼层 前排楼栋 好视野,天庆国际新城C区,奥体中心,3室1厅,117.07平米,南 北,其他,高楼层(共31层),0人关注 / 28天以前发布, 99万,"8,457元/平"
碧桂园三室 楼层楼位好 精装修 拎包入住,碧桂园天麓山北苑,碧桂园,3室1厅,101.78平米,南 北,其他,中楼层(共35层),0人关注 / 2个月以前发布, 60万,"5,896元/平"
房子产权满五年，产权清晰，采光无遮挡，视野开阔,景园  盛世华都,安宁庭院,2室2厅,97平米,东 南 南 北,精装,中楼层(共31层),0人关注 / 7天以前发布, 76万,"7,836元/平"
业主诚心出售  中间楼层 产权 可按揭 河景房,滨河丽舍,幸福巷,2室1厅,99.26平米,东 西,其他,中楼层(共9层),0人关注 / 一年前发布, 56万,"5,642元/平"
七里河秀川和谐毛坯 格局方正可按揭 价格可谈,和谐家园,彭家坪,2室2厅,88.14平米,南,毛坯,低楼层(共30层),0人关注 / 4个月以前发布, 49.9万,"5,662元/平"
优质园林小区，主干道，精装修拎包入住,时代海德堡庄园,龚家湾,2室2厅,91.43平米,南,精装,高楼层(共31层),0人关注 / 4个月以前发布, 80万,"8,750元/平"
辰北花园 一层带花园 三室两厅两卫,辰北花园,雁滩高新区,3室1厅,135.79平米,南 北,简装,低楼层(共6层),0人关注 / 4个月以前发布, 128万,"9,427元/平"
铁路局金轮颐园电梯一室一厅采光无遮挡,金轮颐园小区,火车站,2室1厅,52.45平米,南,简装,高楼层(共8层),0人关注 / 19天以前发布, 35万,"6,674元/平"
繁华地段 正规三室户型方正 地铁口 吾悦广场旁。,桃花苑,海关,3室2厅,140.95平米,南 北,简装,中楼层(共8层),1人关注 / 一年前发布, 92万,"6,528元/平"
火车站红山万和城拎包入住南北通透精装修,红山万和城,火车站,2室1厅,92.28平米,南 北,精装,高楼层(共29层),0人关注 / 3个月以前发布, 66万,"7,153元/平"
